strategy,client_machine_id,clients,locks,active_window,zipf_skew,total_ops,wall_s,goodput,mean_us,p50_us,p90_us,p99_us,p99.9_us,max_us
cas,0,1,1,1,0,3000000,17.866,167920,5.52,5.51,5.55,5.69,8.93,119.98
cas,0,1,1,2,0,3000000,17.918,167425,11.53,5.53,5.6,5.8,9.66,17918415.1
cas,0,1,1,4,0,3000000,17.97,166942,23.54,5.55,5.61,5.77,8.64,17970246.94
cas,0,1,1,8,0,3000000,18.103,165720,47.86,5.57,5.79,6.16,11.55,18102706.01
cas,0,1,1,16,0,3000000,25.985,115452,138.11,8.13,8.32,9.07,15.35,25984866.02
,,,,,,,,,,,,,,
cas,0,1,5,1,0,10000000,56.778,176124,5.24,5.49,5.67,5.83,10.07,141.92
cas,0,1,5,2,0,10000000,32.827,304629,6.17,5.52,8.62,16.83,25,112.51
cas,0,1,5,4,0,10000000,22.153,451399,8.42,5.8,15.15,31.43,46.4,140.18
cas,0,1,5,8,0,10000000,18.149,550993,14.09,8.32,30.93,66.83,103.31,253.25
cas,0,1,5,16,0,10000000,20.136,496625,31.79,15.12,76.41,206.41,369.59,1158.05
,,,,,,,,,,,,,,
cas,0,1,16,1,0,5000000,28.733,174018,5.32,5.5,5.69,5.84,8.33,98.49
cas,0,1,16,2,0,10000000,30.608,326715,5.69,5.58,6.08,11.42,16.89,110.12
cas,0,1,16,4,0,20000000,34.572,578506,6.5,5.74,9.1,17.28,24.17,114.27
cas,0,1,16,8,0,20000000,25.491,784584,9.75,7.5,15.67,30.62,45.73,168.14
cas,0,1,16,16,0,20000000,26.228,762550,20.54,13.28,39.01,79.96,123.48,338
cas,0,1,16,32,0,20000000,31.628,632361,50.16,34.4,106.84,232.05,378.07,1320.71
,,,,,,,,,,,,,,
cas,0,1,100,1,0,5000000,28.537,175208,5.31,5.48,5.69,5.93,10.6,102.03
cas,0,1,100,2,0,20000000,58.961,339207,5.47,5.56,5.81,7.77,11.74,101.1
cas,0,1,100,4,0,20000000,31.414,636654,5.85,5.72,6.37,11.52,14.32,106.72
cas,0,1,100,8,0,20000000,21.123,946817,8.04,7.71,8.49,16.05,23.25,118.16
cas,0,1,100,16,0,20000000,21.547,928192,16.79,15.24,22.78,38.45,55.9,179.7
cas,0,1,100,32,0,20000000,22.118,904256,34.94,28.59,55.76,95.42,141.7,382.22
cas,0,1,100,48,0,20000000,23.395,854886,55.69,41.3,84.72,166.18,253.87,651.89
,,,,,,,,,,,,,,
cas,0,1,1000,1,0,5000000,28.911,172942,5.37,5.5,5.8,6.19,9.15,165.24
cas,0,1,1000,2,0,20000000,59.487,336208,5.53,5.6,6.08,6.71,10.81,101.51
cas,0,1,1000,4,0,20000000,31.237,640276,5.83,5.79,6.42,7.21,12.16,146.21
cas,0,1,1000,8,0,20000000,21.785,918043,8.26,8.21,8.8,10.46,17.26,112.79
cas,0,1,1000,16,0,20000000,20.316,984441,15.82,15.68,16.4,24.02,32.52,141.49
cas,0,1,1000,32,0,20000000,20.56,972762,32.45,31.74,32.67,62.6,73.76,219.06
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
cas,0,1,1000,16,0,20000000,20.316,984441,15.82,15.68,16.4,24.02,32.52,141.49
cas,0,2,1000,16,0,20000000,12.921,1547816,20.12,18.96,27.9,39.88,54.18,158.54
cas,0,4,1000,16,0,20000000,13.136,1522495,41.31,31.96,83.59,118.25,172.96,423.88
cas,0,8,1000,16,0,20000000,13.408,1491607,84.86,52.29,191.11,309.62,463.41,1354.66
,,,,,,,,,,,,,,
cas,0,1,10000,16,0,20000000,24.001,833295,18.8,12.04,38.52,44.33,55.2,180.96
cas,0,2,10000,16,0,20000000,25.254,791964,39.98,32.99,77.5,112.8,129.4,269.23
cas,0,4,10000,16,0,20000000,26.392,757817,83.97,28.41,241.37,298.19,363.4,801.41
cas,0,8,10000,16,0,20000000,27.092,738226,172.7,42.21,502.38,620.94,814.47,1684.57
,,,,,,,,,,,,,,
cas,0,1,10000,8,0,20000000,24.561,814290,9.39,8.96,12.03,14.45,20.38,111.24
cas,0,1,10000,16,0,20000000,24.001,833295,18.8,12.04,38.52,44.33,55.2,180.96
cas,0,1,10000,32,0,20000000,24.083,830475,38.1,18.51,89.73,98.58,169.28,441.63
,,,,,,,,,,,,,,
cas,0,1,5000,8,0,20000000,23.103,865697,8.81,8.65,9.96,11.84,19.24,111.25
cas,0,1,5000,16,0,20000000,22.303,896729,17.4,12.66,32.01,36.69,56.08,149.28
cas,0,1,5000,32,0,20000000,22.694,881292,35.92,16.24,83.45,92.35,164.21,438.88
,,,,,,,,,,,,,,
cas,0,2,5000,32,0,20000000,24.108,829595,76.7,37.17,218.68,263.28,356.95,981.48